"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_kg","reps","distance_km","duration_seconds","rpe"
"Lower gym","23 Mar 2025, 15:48","23 Mar 2025, 17:02","","Leg Press (Machine)",,"",2,"normal",140,11,,,
"Lower gym","23 Mar 2025, 15:48","23 Mar 2025, 17:02","","Leg Press (Machine)",,"",3,"normal",140,9,,,
"Lower gym","23 Mar 2025, 15:48","23 Mar 2025, 17:02","","Leg Extension (Machine)",,"",0,"normal",50,12,,,
"Lower gym","23 Mar 2025, 15:48","23 Mar 2025, 17:02","","Leg Extension (Machine)",,"",1,"normal",70,10,,,
"Lower gym","23 Mar 2025, 15:48","23 Mar 2025, 17:02","","Leg Extension (Machine)",,"",2,"normal",70,9,,,
"Lower gym","23 Mar 2025, 15:48","23 Mar 2025, 17:02","","Leg Extension (Machine)",,"",3,"normal",70,10,,,
"Evening workout 🏋️","22 Mar 2025, 19:36","22 Mar 2025, 20:37","","Incline Bench Press (Dumbbell)",,"",0,"normal",25,10,,,
"Evening workout 🏋️","22 Mar 2025, 19:36","22 Mar 2025, 20:37","","Incline Bench Press (Dumbbell)",,"",1,"normal",25,11,,,
"Evening workout 🏋️","22 Mar 2025, 19:36","22 Mar 2025, 20:37","","Incline Bench Press (Dumbbell)",,"",2,"normal",25,9,,,
"Evening workout 🏋️","22 Mar 2025, 19:36","22 Mar 2025, 20:37","","Butterfly (Pec Deck)",,"",0,"normal",73,10,,,
"Evening workout 🏋️","22 Mar 2025, 19:36","22 Mar 2025, 20:37","","Butterfly (Pec Deck)",,"",1,"normal",73,10,,,
"Evening workout 🏋️","22 Mar 2025, 19:36","22 Mar 2025, 20:37","","Butterfly (Pec Deck)",,"",2,"normal",73,10,,,
"Evening workout 🏋️","22 Mar 2025, 19:36","22 Mar 2025, 20:37","","Shoulder Press (Dumbbell)",,"",0,"normal",15,10,,,
"Evening workout 🏋️","22 Mar 2025, 19:36","22 Mar 2025, 20:37","","Shoulder Press (Dumbbell)",,"",1,"normal",22.6,8,,,
"Evening workout 🏋️","22 Mar 2025, 19:36","22 Mar 2025, 20:37","","Shoulder Press (Dumbbell)",,"",2,"normal",22.5,8,,,
"Evening workout 🏋️","22 Mar 2025, 19:36","22 Mar 2025, 20:37","","Shoulder Press (Dumbbell)",,"",3,"normal",22.5,8,,,
"Evening workout 🏋️","22 Mar 2025, 19:36","22 Mar 2025, 20:37","","Lateral Raise (Dumbbell)",,"",0,"normal",7.5,10,,,
"Evening workout 🏋️","22 Mar 2025, 19:36","22 Mar 2025, 20:37","","Lateral Raise (Dumbbell)",,"",1,"normal",10,10,,,
"Evening workout 🏋️","22 Mar 2025, 19:36","22 Mar 2025, 20:37","","Lateral Raise (Dumbbell)",,"",2,"normal",10,10,,,
"Evening workout 🏋️","21 Mar 2025, 19:36","21 Mar 2025, 20:53","","Lat Pulldown (Cable)",,"",0,"normal",45,10,,,
